index,title,organ,organismId,sex,lifestage
KE 993,"Decrease, Abdominal muscle contraction",somatic muscle,Not specified,['Not specified'],['Not specified']
KE 1264,"Increase, Nuclear receptor E75b gene expression",,Not specified,['Not specified'],['Not specified']
KE 1265,"Increase, Fushi tarazu factor-1 gene expression",,Not specified,['Not specified'],['Not specified']
KE 1266,"Decrease, Circulating crustacean cardioactive peptide",haemolymphatic fluid,Not specified,['Not specified'],['Not specified']
KE 1267,"Decrease, Ecdysis motoneuron bursts",nervous system,Not specified,['Not specified'],['Not specified']
KE 1268,"Decrease, Excitatory postsynaptic potential",somatic muscle,Not specified,['Not specified'],['Not specified']
KE 350,"Increase, Mortality",,7375,['Unspecific'],['All life stages']
KE 350,"Increase, Mortality",,35525,['Unspecific'],['All life stages']
KE 858,"Decreased, PPARalpha transactivation of gene expression",,9606,"['Male', 'Female']",['Not Otherwise Specified']
KE 858,"Decreased, PPARalpha transactivation of gene expression",,10090,"['Male', 'Female']",['Not Otherwise Specified']
KE 861,"Decreased, Ketogenesis (production of ketone bodies)",,10090,"['Male', 'Female']","['Not Otherwise Specified', 'Adults']"
KE 861,"Decreased, Ketogenesis (production of ketone bodies)",,9606,"['Male', 'Female']","['Not Otherwise Specified', 'Adults']"
KE 862,"Not Increased, Circulating Ketone Bodies",blood,9606,"['Male', 'Female']","['Not Otherwise Specified', 'Adults']"
KE 862,"Not Increased, Circulating Ketone Bodies",blood,10090,"['Male', 'Female']","['Not Otherwise Specified', 'Adults']"
KE 864,"Decreased, Body Weight",,9606,"['Male', 'Female']",['Adults']
KE 864,"Decreased, Body Weight",,10090,"['Male', 'Female']",['Adults']
KE 864,"Decreased, Body Weight",,9014,"['Male', 'Female']",['Adults']
KE 863,"Increased, Catabolism of Muscle Protein",musculoskeletal system,9606,"['Male', 'Female']",['Adults']
KE 863,"Increased, Catabolism of Muscle Protein",musculoskeletal system,10090,"['Male', 'Female']",['Adults']
KE 863,"Increased, Catabolism of Muscle Protein",musculoskeletal system,10117,"['Male', 'Female']",['Adults']
KE 998,"Binding of antagonist, PPAR alpha",,9606,['Unspecific'],['Not Otherwise Specified']
KE 998,"Binding of antagonist, PPAR alpha",,4932,['Unspecific'],['Not Otherwise Specified']
KE 1000,"stabilization, PPAR alpha co-repressor",,9606,['Not specified'],['Not specified']
KE 1000,"stabilization, PPAR alpha co-repressor",,4932,['Not specified'],['Not specified']
KE 1528,"Fatty Acid Beta Oxidation, Decreased",,9606,"['Male', 'Female']","['Adult, reproductively mature']"
KE 1528,"Fatty Acid Beta Oxidation, Decreased",,10090,"['Male', 'Female']","['Adult, reproductively mature']"
KE 219,"Reduction, Plasma 17beta-estradiol concentrations",blood plasma,10116,['Unspecific'],['Adult']
KE 219,"Reduction, Plasma 17beta-estradiol concentrations",blood plasma,9606,['Unspecific'],['Adult']
KE 219,"Reduction, Plasma 17beta-estradiol concentrations",blood plasma,90988,['Unspecific'],['Adult']
KE 219,"Reduction, Plasma 17beta-estradiol concentrations",blood plasma,8078,['Unspecific'],['Adult']
KE 3,"Reduction, 17beta-estradiol synthesis by ovarian granulosa cells",,90988,['Female'],"['Adult, reproductively mature']"
KE 3,"Reduction, 17beta-estradiol synthesis by ovarian granulosa cells",,8078,['Female'],"['Adult, reproductively mature']"
KE 406,"decreased, Fertility",,10116,"['Male', 'Female']","['Adult, reproductively mature', 'Juvenile', 'Adults']"
KE 406,"decreased, Fertility",,10090,"['Male', 'Female']","['Adult, reproductively mature', 'Juvenile', 'Adults']"
KE 406,"decreased, Fertility",,9606,"['Male', 'Female']","['Adult, reproductively mature', 'Juvenile', 'Adults']"
KE 405,"disrupted, ovarian cycle",,10095,['Female'],"['Adult, reproductively mature']"
KE 405,"disrupted, ovarian cycle",,10116,['Female'],"['Adult, reproductively mature']"
KE 408,"reduction in ovarian granulosa cells, Aromatase (Cyp19a1)",,10116,['Not specified'],['Not specified']
KE 408,"reduction in ovarian granulosa cells, Aromatase (Cyp19a1)",,9606,['Not specified'],['Not specified']
KE 408,"reduction in ovarian granulosa cells, Aromatase (Cyp19a1)",,7955,['Not specified'],['Not specified']
KE 239,"Activation, Pregnane-X receptor, NR1l2",,10116,['Unspecific'],['All life stages']
KE 239,"Activation, Pregnane-X receptor, NR1l2",,10090,['Unspecific'],['All life stages']
KE 239,"Activation, Pregnane-X receptor, NR1l2",,9606,['Unspecific'],['All life stages']
KE 319,"Loss, Cochlear function",ear,10116,['Not specified'],['Not specified']
KE 280,"Thyroxine (T4) in neuronal tissue, Decreased",brain,9606,"['Female', 'Male']",['During brain development']
KE 280,"Thyroxine (T4) in neuronal tissue, Decreased",brain,10116,"['Female', 'Male']",['During brain development']
KE 280,"Thyroxine (T4) in neuronal tissue, Decreased",brain,9031,"['Female', 'Male']",['During brain development']
KE 281,"Thyroxine (T4) in serum, Decreased",serum,9606,"['Female', 'Male']",['All life stages']
KE 281,"Thyroxine (T4) in serum, Decreased",serum,10116,"['Female', 'Male']",['All life stages']
KE 281,"Thyroxine (T4) in serum, Decreased",serum,10090,"['Female', 'Male']",['All life stages']
KE 281,"Thyroxine (T4) in serum, Decreased",serum,9031,"['Female', 'Male']",['All life stages']
KE 281,"Thyroxine (T4) in serum, Decreased",serum,8355,"['Female', 'Male']",['All life stages']
KE 281,"Thyroxine (T4) in serum, Decreased",serum,7955,"['Female', 'Male']",['All life stages']
KE 281,"Thyroxine (T4) in serum, Decreased",serum,90988,"['Female', 'Male']",['All life stages']
KE 281,"Thyroxine (T4) in serum, Decreased",serum,9823,"['Female', 'Male']",['All life stages']
KE 295,"Induction, Upregulation of glucuronyltransferase activity",,8355,['Not specified'],['Not specified']
KE 295,"Induction, Upregulation of glucuronyltransferase activity",,10116,['Not specified'],['Not specified']
KE 757,"Hippocampal anatomy, Altered",brain,10090,"['Male', 'Female']",['During brain development']
KE 757,"Hippocampal anatomy, Altered",brain,10116,"['Male', 'Female']",['During brain development']
KE 757,"Hippocampal anatomy, Altered",brain,9606,"['Male', 'Female']",['During brain development']
KE 758,"Hippocampal Physiology, Altered",brain,9606,"['Female', 'Male']",['During brain development']
KE 758,"Hippocampal Physiology, Altered",brain,10116,"['Female', 'Male']",['During brain development']
KE 758,"Hippocampal Physiology, Altered",brain,10090,"['Female', 'Male']",['During brain development']
KE 756,"Hippocampal gene expression, Altered",brain,10090,"['Female', 'Male']",['During brain development']
KE 756,"Hippocampal gene expression, Altered",brain,10116,"['Female', 'Male']",['During brain development']
KE 756,"Hippocampal gene expression, Altered",brain,9606,"['Female', 'Male']",['During brain development']
KE 961,"Increased, Clearance of thyroxine from serum",liver,8355,['Not specified'],['Not specified']
KE 961,"Increased, Clearance of thyroxine from serum",liver,10118,['Not specified'],['Not specified']
KE 961,"Increased, Clearance of thyroxine from serum",liver,10090,['Not specified'],['Not specified']
KE 64,"Reduction, Ionotropic GABA receptor chloride channel conductance",brain,9606,['Not specified'],['Not specified']
KE 64,"Reduction, Ionotropic GABA receptor chloride channel conductance",brain,10116,['Not specified'],['Not specified']
KE 64,"Reduction, Ionotropic GABA receptor chloride channel conductance",brain,10090,['Not specified'],['Not specified']
KE 64,"Reduction, Ionotropic GABA receptor chloride channel conductance",brain,7227,['Not specified'],['Not specified']
KE 616,"Occurrence, A paroxysmal depolarizing shift",brain,9606,['Unspecific'],['Adult']
KE 616,"Occurrence, A paroxysmal depolarizing shift",brain,10116,['Unspecific'],['Adult']
KE 613,"Occurrence, Epileptic seizure",,9606,['Unspecific'],['Adult']
KE 613,"Occurrence, Epileptic seizure",,10116,['Unspecific'],['Adult']
KE 613,"Occurrence, Epileptic seizure",,10090,['Unspecific'],['Adult']
KE 613,"Occurrence, Epileptic seizure",,7460,['Unspecific'],['Adult']
KE 613,"Occurrence, Epileptic seizure",,6396,['Unspecific'],['Adult']
KE 667,"Binding at picrotoxin site, iGABAR chloride channel",brain,9606,['Unspecific'],['Adult']
KE 667,"Binding at picrotoxin site, iGABAR chloride channel",brain,10116,['Unspecific'],['Adult']
KE 667,"Binding at picrotoxin site, iGABAR chloride channel",brain,7227,['Unspecific'],['Adult']
KE 667,"Binding at picrotoxin site, iGABAR chloride channel",brain,10090,['Unspecific'],['Adult']
KE 667,"Binding at picrotoxin site, iGABAR chloride channel",brain,9615,['Unspecific'],['Adult']
KE 669,"Reduction, Neuronal synaptic inhibition",,10116,['Unspecific'],['Adult']
KE 669,"Reduction, Neuronal synaptic inhibition",,10141,['Unspecific'],['Adult']
KE 669,"Reduction, Neuronal synaptic inhibition",,9606,['Unspecific'],['Adult']
KE 669,"Reduction, Neuronal synaptic inhibition",,93934,['Unspecific'],['Adult']
KE 682,"Generation, Amplified excitatory postsynaptic potential (EPSP)",brain,10090,['Unspecific'],['Adult']
KE 682,"Generation, Amplified excitatory postsynaptic potential (EPSP)",brain,10116,['Unspecific'],['Adult']
KE 682,"Generation, Amplified excitatory postsynaptic potential (EPSP)",brain,10141,['Unspecific'],['Adult']
KE 245,"Activation, PXR/SXR",,Not specified,['Not specified'],['Not specified']
KE 195,"Inhibition, NMDARs",,9606,['Not specified'],['Not specified']
KE 195,"Inhibition, NMDARs",,10116,['Not specified'],['Not specified']
KE 195,"Inhibition, NMDARs",,10090,['Not specified'],['Not specified']
KE 352,"N/A, Neurodegeneration",brain,9606,['Mixed'],"['During brain development, adulthood and aging']"
KE 352,"N/A, Neurodegeneration",brain,10090,['Mixed'],"['During brain development, adulthood and aging']"
KE 352,"N/A, Neurodegeneration",brain,7955,['Mixed'],"['During brain development, adulthood and aging']"
KE 52,"Decreased, Calcium influx",,9606,['Not specified'],['Not specified']
KE 52,"Decreased, Calcium influx",,10116,['Not specified'],['Not specified']
KE 52,"Decreased, Calcium influx",,10095,['Not specified'],['Not specified']
KE 52,"Decreased, Calcium influx",,7955,['Not specified'],['Not specified']
KE 201,"Binding of antagonist, NMDA receptors",,9606,['Not specified'],['Not specified']
KE 201,"Binding of antagonist, NMDA receptors",,10116,['Not specified'],['Not specified']
KE 201,"Binding of antagonist, NMDA receptors",,10090,['Not specified'],['Not specified']
KE 381,Reduced levels of BDNF,,9606,['Mixed'],['During brain development']
KE 381,Reduced levels of BDNF,,10116,['Mixed'],['During brain development']
KE 381,Reduced levels of BDNF,,10090,['Mixed'],['During brain development']
KE 55,"Increase, Cell injury/death",,9606,['Unspecific'],['All life stages']
KE 55,"Increase, Cell injury/death",,9606,['Unspecific'],['All life stages']
KE 55,"Increase, Cell injury/death",,10116,['Unspecific'],['All life stages']
KE 55,"Increase, Cell injury/death",,10090,['Unspecific'],['All life stages']
KE 341,"Impairment, Learning and memory",,9606,['Mixed'],"['During brain development', 'Adult, reproductively mature']"
KE 341,"Impairment, Learning and memory",,10116,['Mixed'],"['During brain development', 'Adult, reproductively mature']"
KE 341,"Impairment, Learning and memory",,7227,['Mixed'],"['During brain development', 'Adult, reproductively mature']"
KE 341,"Impairment, Learning and memory",,7955,['Mixed'],"['During brain development', 'Adult, reproductively mature']"
KE 341,"Impairment, Learning and memory",,160004,['Mixed'],"['During brain development', 'Adult, reproductively mature']"
KE 341,"Impairment, Learning and memory",,10090,['Mixed'],"['During brain development', 'Adult, reproductively mature']"
KE 382,"Aberrant, Dendritic morphology",,9606,['Not specified'],['Not specified']
KE 382,"Aberrant, Dendritic morphology",,10116,['Not specified'],['Not specified']
KE 382,"Aberrant, Dendritic morphology",,10090,['Not specified'],['Not specified']
KE 382,"Aberrant, Dendritic morphology",,9031,['Not specified'],['Not specified']
KE 382,"Aberrant, Dendritic morphology",,7227,['Not specified'],['Not specified']
KE 385,Decrease of synaptogenesis,,9606,['Mixed'],['During brain development']
KE 385,Decrease of synaptogenesis,,10116,['Mixed'],['During brain development']
KE 385,Decrease of synaptogenesis,,10090,['Mixed'],['During brain development']
KE 386,Decrease of neuronal network function,brain,9606,['Mixed'],['During brain development']
KE 386,Decrease of neuronal network function,brain,10116,['Mixed'],['During brain development']
KE 386,Decrease of neuronal network function,brain,10095,['Mixed'],['During brain development']
KE 386,Decrease of neuronal network function,brain,9685,['Mixed'],['During brain development']
KE 383,"Reduced, Presynaptic release of glutamate",,9606,['Not specified'],['Not specified']
KE 383,"Reduced, Presynaptic release of glutamate",,10116,['Not specified'],['Not specified']
KE 383,"Reduced, Presynaptic release of glutamate",,10095,['Not specified'],['Not specified']
KE 122,"Activation, Glucocorticoid Receptor",,Not specified,['Mixed'],['All life stages']
KE 202,"Inhibition, Nuclear factor kappa B (NF-kB)",immune system,9606,['Unspecific'],['All life stages']
KE 202,"Inhibition, Nuclear factor kappa B (NF-kB)",immune system,10090,['Unspecific'],['All life stages']
KE 202,"Inhibition, Nuclear factor kappa B (NF-kB)",immune system,10116,['Unspecific'],['All life stages']
KE 152,"Suppression, Inflammatory cytokines",,Not specified,['Not specified'],['Not specified']
KE 168,"Decreased, Lymphocytes",,Not specified,['Not specified'],['Not specified']
KE 145,"Induction, IKB inhibitory protein",,Not specified,['Not specified'],['Not specified']
KE 323,"Increased, Disease susceptibility",,Not specified,['Not specified'],['Not specified']
KE 403,"Suppression, Immune system",,Not specified,['Not specified'],['Not specified']
KE 336,"Increase, Heritable mutations in offspring",,10090,['Not specified'],['Not specified']
KE 336,"Increase, Heritable mutations in offspring",,8090,['Not specified'],['Not specified']
KE 336,"Increase, Heritable mutations in offspring",,7227,['Not specified'],['Not specified']
KE 97,"Alkylation, DNA",,10090,['Mixed'],['Not specified']
KE 97,"Alkylation, DNA",,10036,['Mixed'],['Not specified']
KE 97,"Alkylation, DNA",,10116,['Mixed'],['Not specified']
KE 97,"Alkylation, DNA",,9606,['Mixed'],['Not specified']
KE 185,"Increase, Mutations",,10090,['Unspecific'],['All life stages']
KE 185,"Increase, Mutations",,8090,['Unspecific'],['All life stages']
KE 185,"Increase, Mutations",,10116,['Unspecific'],['All life stages']
KE 185,"Increase, Mutations",,9606,['Unspecific'],['All life stages']
KE 155,Inadequate DNA repair,,10090,['Unspecific'],['All life stages']
KE 155,Inadequate DNA repair,,10116,['Unspecific'],['All life stages']
KE 155,Inadequate DNA repair,,10036,['Unspecific'],['All life stages']
KE 155,Inadequate DNA repair,,9606,['Unspecific'],['All life stages']
KE 155,Inadequate DNA repair,,9913,['Unspecific'],['All life stages']
KE 351,Increased Mortality,,131567,['Unspecific'],['All life stages']
KE 12,Acetylcholinesterase (AchE) Inhibition,nervous system,Not specified,['Unspecific'],['All life stages']
KE 10,Acetylcholine accumulation in synapses,,7955,['Unspecific'],['All life stages']
KE 445,Respiratory distress/arrest,respiration organ,Not specified,['Not specified'],['Not specified']
KE 39,Increased Cholinergic Signaling,nervous system,Not specified,['Not specified'],['Not specified']
KE 1703,Dysregulation of heart rate and vascular tone,,Not specified,['Not specified'],['Not specified']
KE 360,"Decrease, Population growth rate",,131567,['Unspecific'],['All life stages']
KE 1487,"Binding, Thiol/seleno-proteins involved in protection against oxidative stress",brain,10116,"['Female', 'Male']",['During brain development']
KE 1487,"Binding, Thiol/seleno-proteins involved in protection against oxidative stress",brain,10090,"['Female', 'Male']",['During brain development']
KE 1487,"Binding, Thiol/seleno-proteins involved in protection against oxidative stress",brain,7955,"['Female', 'Male']",['During brain development']
KE 1487,"Binding, Thiol/seleno-proteins involved in protection against oxidative stress",brain,9606,"['Female', 'Male']",['During brain development']
KE 1487,"Binding, Thiol/seleno-proteins involved in protection against oxidative stress",brain,9031,"['Female', 'Male']",['During brain development']
KE 1392,Oxidative Stress,,10116,['Mixed'],['All life stages']
KE 1392,Oxidative Stress,,9606,['Mixed'],['All life stages']
KE 1488,Glutamate dyshomeostasis,brain,Not specified,['Not specified'],['Not specified']
KE 1492,Tissue resident cell activation,,9606,['Not specified'],['All life stages']
KE 1492,Tissue resident cell activation,,9541,['Not specified'],['All life stages']
KE 1492,Tissue resident cell activation,,10116,['Not specified'],['All life stages']
KE 1492,Tissue resident cell activation,,10090,['Not specified'],['All life stages']
KE 1492,Tissue resident cell activation,,7955,['Not specified'],['All life stages']
KE 1493,Increased Pro-inflammatory mediators,,9606,['Unspecific'],['All life stages']
KE 1493,Increased Pro-inflammatory mediators,,7742,['Unspecific'],['All life stages']
KE 1538,Decreased protection against oxidative stress,brain,10116,"['Male', 'Female']",['All life stages']
KE 1538,Decreased protection against oxidative stress,brain,10090,"['Male', 'Female']",['All life stages']
KE 1538,Decreased protection against oxidative stress,brain,9606,"['Male', 'Female']",['All life stages']
KE 227,"Activation, PPARα",liver,10116,['Not specified'],['Not specified']
KE 227,"Activation, PPARα",liver,10090,['Not specified'],['Not specified']
KE 227,"Activation, PPARα",liver,9606,['Not specified'],['Not specified']
KE 266,"Decrease, Steroidogenic acute regulatory protein (STAR)",,10090,['Not specified'],['Not specified']
KE 266,"Decrease, Steroidogenic acute regulatory protein (STAR)",,9606,['Not specified'],['Not specified']
KE 266,"Decrease, Steroidogenic acute regulatory protein (STAR)",,10116,['Not specified'],['Not specified']
KE 447,"Reduction, Cholesterol transport in mitochondria",,10090,['Not specified'],['Not specified']
KE 447,"Reduction, Cholesterol transport in mitochondria",,9606,['Not specified'],['Not specified']
KE 447,"Reduction, Cholesterol transport in mitochondria",,10116,['Not specified'],['Not specified']
KE 413,"Reduction, Testosterone synthesis in Leydig cells",,10116,['Not specified'],['Not specified']
KE 413,"Reduction, Testosterone synthesis in Leydig cells",,9606,['Not specified'],['Not specified']
KE 413,"Reduction, Testosterone synthesis in Leydig cells",,10095,['Not specified'],['Not specified']
KE 289,"Decrease, Translocator protein (TSPO)",,9606,['Not specified'],['Not specified']
KE 289,"Decrease, Translocator protein (TSPO)",,10116,['Not specified'],['Not specified']
KE 289,"Decrease, Translocator protein (TSPO)",,10090,['Not specified'],['Not specified']
KE 348,"Malformation, Male reproductive tract",male reproductive system,9606,['Not specified'],['Not specified']
KE 348,"Malformation, Male reproductive tract",male reproductive system,10116,['Not specified'],['Not specified']
KE 1690,"Decrease, circulating testosterone levels",blood,40674,"['Male', 'Female']",['During development and at adulthood']
KE 310,"Alteration, Wnt pathway",,Not specified,['Not specified'],['Not specified']
KE 240,"Feminisation or incomplete development, Primary and accessory male sex organs",male reproductive system,Not specified,['Not specified'],['Not specified']
KE 286,"Altered, Transcription of genes by the androgen receptor",,40674,['Mixed'],['During development and at adulthood']
KE 337,"N/A, Impairment of reproductive capacity",,Not specified,['Not specified'],['Not specified']
KE 26,"Antagonism, Androgen receptor",,40674,['Mixed'],['During development and at adulthood']
KE 18,"Activation, AhR",,7955,['Unspecific'],"['Embryo', 'Development', 'All life stages']"
KE 18,"Activation, AhR",,9031,['Unspecific'],"['Embryo', 'Development', 'All life stages']"
KE 18,"Activation, AhR",,143350,['Unspecific'],"['Embryo', 'Development', 'All life stages']"
KE 18,"Activation, AhR",,7904,['Unspecific'],"['Embryo', 'Development', 'All life stages']"
KE 18,"Activation, AhR",,41871,['Unspecific'],"['Embryo', 'Development', 'All life stages']"
KE 18,"Activation, AhR",,8022,['Unspecific'],"['Embryo', 'Development', 'All life stages']"
KE 18,"Activation, AhR",,8030,['Unspecific'],"['Embryo', 'Development', 'All life stages']"
KE 18,"Activation, AhR",,8355,['Unspecific'],"['Embryo', 'Development', 'All life stages']"
KE 18,"Activation, AhR",,8296,['Unspecific'],"['Embryo', 'Development', 'All life stages']"
KE 18,"Activation, AhR",,9054,['Unspecific'],"['Embryo', 'Development', 'All life stages']"
KE 18,"Activation, AhR",,93934,['Unspecific'],"['Embryo', 'Development', 'All life stages']"
KE 18,"Activation, AhR",,10090,['Unspecific'],"['Embryo', 'Development', 'All life stages']"
KE 18,"Activation, AhR",,10116,['Unspecific'],"['Embryo', 'Development', 'All life stages']"
KE 18,"Activation, AhR",,9606,['Unspecific'],"['Embryo', 'Development', 'All life stages']"
KE 18,"Activation, AhR",,34823,['Unspecific'],"['Embryo', 'Development', 'All life stages']"
KE 18,"Activation, AhR",,9606,['Unspecific'],"['Embryo', 'Development', 'All life stages']"
KE 944,"dimerization, AHR/ARNT",,9031,['Unspecific'],"['Embryo', 'Development', 'All life stages']"
KE 944,"dimerization, AHR/ARNT",,7955,['Unspecific'],"['Embryo', 'Development', 'All life stages']"
KE 944,"dimerization, AHR/ARNT",,10090,['Unspecific'],"['Embryo', 'Development', 'All life stages']"
KE 944,"dimerization, AHR/ARNT",,93934,['Unspecific'],"['Embryo', 'Development', 'All life stages']"
KE 944,"dimerization, AHR/ARNT",,9054,['Unspecific'],"['Embryo', 'Development', 'All life stages']"
KE 944,"dimerization, AHR/ARNT",,8022,['Unspecific'],"['Embryo', 'Development', 'All life stages']"
KE 944,"dimerization, AHR/ARNT",,143350,['Unspecific'],"['Embryo', 'Development', 'All life stages']"
KE 944,"dimerization, AHR/ARNT",,41871,['Unspecific'],"['Embryo', 'Development', 'All life stages']"
KE 944,"dimerization, AHR/ARNT",,7904,['Unspecific'],"['Embryo', 'Development', 'All life stages']"
KE 944,"dimerization, AHR/ARNT",,8030,['Unspecific'],"['Embryo', 'Development', 'All life stages']"
KE 944,"dimerization, AHR/ARNT",,8355,['Unspecific'],"['Embryo', 'Development', 'All life stages']"
KE 944,"dimerization, AHR/ARNT",,9606,['Unspecific'],"['Embryo', 'Development', 'All life stages']"
KE 944,"dimerization, AHR/ARNT",,8296,['Unspecific'],"['Embryo', 'Development', 'All life stages']"
KE 944,"dimerization, AHR/ARNT",,34823,['Unspecific'],"['Embryo', 'Development', 'All life stages']"
KE 317,"Altered, Cardiovascular development/function",heart,7742,['Unspecific'],['Embryo']
KE 317,"Altered, Cardiovascular development/function",heart,50557,['Unspecific'],['Embryo']
KE 1269,"Increase, COX-2 expression",,7955,['Unspecific'],['Embryo']
KE 1269,"Increase, COX-2 expression",,8090,['Unspecific'],['Embryo']
KE 1269,"Increase, COX-2 expression",,9031,['Unspecific'],['Embryo']
KE 1269,"Increase, COX-2 expression",,10090,['Unspecific'],['Embryo']
KE 1269,"Increase, COX-2 expression",,9606,['Unspecific'],['Embryo']
KE 947,"Increase, Early Life Stage Mortality",,7742,['Unspecific'],"['Embryo', 'Foetal', 'Development']"
KE 25,"Agonism, Androgen receptor",,90988,"['Female', 'Male']","['Adult, reproductively mature', 'During development and at adulthood']"
KE 25,"Agonism, Androgen receptor",,8090,"['Female', 'Male']","['Adult, reproductively mature', 'During development and at adulthood']"
KE 25,"Agonism, Androgen receptor",,40674,"['Female', 'Male']","['Adult, reproductively mature', 'During development and at adulthood']"
KE 274,"Reduction, Testosterone synthesis by ovarian theca cells",,90988,['Female'],"['Adult, reproductively mature']"
KE 274,"Reduction, Testosterone synthesis by ovarian theca cells",,8078,['Female'],"['Adult, reproductively mature']"
KE 285,"Reduction, Vitellogenin synthesis in liver",liver,90988,"['Unspecific', 'Female']","['Adult, reproductively mature']"
KE 285,"Reduction, Vitellogenin synthesis in liver",liver,8078,"['Unspecific', 'Female']","['Adult, reproductively mature']"
KE 285,"Reduction, Vitellogenin synthesis in liver",liver,8090,"['Unspecific', 'Female']","['Adult, reproductively mature']"
KE 285,"Reduction, Vitellogenin synthesis in liver",liver,7955,"['Unspecific', 'Female']","['Adult, reproductively mature']"
KE 78,"Reduction, Cumulative fecundity and spawning",,90988,['Female'],"['Adult, reproductively mature']"
KE 78,"Reduction, Cumulative fecundity and spawning",,8078,['Female'],"['Adult, reproductively mature']"
KE 78,"Reduction, Cumulative fecundity and spawning",,8090,['Female'],"['Adult, reproductively mature']"
KE 221,"Reduction, Plasma vitellogenin concentrations",blood plasma,90988,['Not specified'],"['Adult, reproductively mature']"
KE 221,"Reduction, Plasma vitellogenin concentrations",blood plasma,8090,['Not specified'],"['Adult, reproductively mature']"
KE 221,"Reduction, Plasma vitellogenin concentrations",blood plasma,7955,['Not specified'],"['Adult, reproductively mature']"
KE 309,"Reduction, Vitellogenin accumulation into oocytes and oocyte growth/development",,90988,['Female'],"['Adult, reproductively mature']"
KE 309,"Reduction, Vitellogenin accumulation into oocytes and oocyte growth/development",,8090,['Female'],"['Adult, reproductively mature']"
KE 129,"Reduction, Gonadotropins, circulating concentrations",blood plasma,Not specified,['Unspecific'],['Not Otherwise Specified']
KE 36,"Inhibition, Aromatase",ovary growing follicle,7742,['Unspecific'],['All life stages']
KE 51,"Inhibition, Ca++ ATPase",,Not specified,['Not specified'],['Not specified']
KE 50,"Increase, Ca++ (intracellular)",,Not specified,['Not specified'],['Not specified']
KE 178,"Disruption, Mitochondrial electron transport chain",,Not specified,['Not specified'],['Not specified']
KE 40,"Decrease, Mitochondrial ATP production",,Not specified,['Not specified'],['Not specified']
KE 193,"Decreased, Nitric Oxide",,Not specified,['Not specified'],['Not specified']
KE 166,"Decreased, Long-term potentiation (LTP)",nervous system,Not specified,['Not specified'],['Not specified']
KE 1115,"Increase, Reactive oxygen species",organ,7742,['Unspecific'],['All life stages']
KE 1115,"Increase, Reactive oxygen species",organ,9606,['Unspecific'],['All life stages']
KE 1115,"Increase, Reactive oxygen species",organ,9606,['Unspecific'],['All life stages']
KE 1115,"Increase, Reactive oxygen species",organ,10090,['Unspecific'],['All life stages']
KE 1115,"Increase, Reactive oxygen species",organ,35525,['Unspecific'],['All life stages']
