organ,organismId,organismName,sex,lifestage,aeid,assayComponentEndpointName,assaySourceLongName,organism,tissue,cellFreeComponentSource,assayFormatType,citations,assayDesignType,assayDesignTypeSub,biologicalProcessTarget,detectionTechnologyType,detectionTechnology,assayName,geneId,geneName,description,geneSymbol,trackStatus,entrezGeneId,officialSymbol,officialFullName,uniprotAccessionNumber
,9606, human,['Not specified'],['Not specified'],2584,ERF_CR_ENZ_hHDAC6,Eurofins,human,,human recombinant cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,Fluorimetry,ERF_CR_ENZ_hHDAC6,361,histone deacetylase 6,,HDAC6,live,10013,HDAC6,histone deacetylase 6,Q9UBN7
,9606, human,['Not specified'],['Not specified'],2585,ERF_CR_ENZ_hIRAK4,Eurofins,human,,human recombinant insect cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,LANCE,ERF_CR_ENZ_hIRAK4,425,interleukin-1 receptor-associated kinase 4,,IRAK4,live,51135,IRAK4,interleukin-1 receptor-associated kinase 4,Q9NWZ3
,9606, human,['Not specified'],['Not specified'],2586,ERF_CR_ENZ_hJAK2,Eurofins,human,,human recombinant Sf21 cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,LANCE,ERF_CR_ENZ_hJAK2,182,Janus kinase 2,,JAK2,live,3717,JAK2,Janus kinase 2,O60674
,9606, human,['Not specified'],['Not specified'],2587,ERF_CR_ENZ_hKDR,Eurofins,human,,human recombinant Sf9 cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,LANCE,ERF_CR_ENZ_hKDR,186,kinase insert domain receptor (a type III receptor tyrosine kinase),,KDR,live,3791,KDR,kinase insert domain receptor (a type III receptor tyrosine kinase),P35968
,9606, human,['Not specified'],['Not specified'],2588,ERF_CR_ENZ_hLCK,Eurofins,human,,human recombinant insect cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,LANCE,ERF_CR_ENZ_hLCK,188,"LCK proto-oncogene, Src family tyrosine kinase",,LCK,live,3932,LCK,"LCK proto-oncogene, Src family tyrosine kinase",P06239
,9606, human,['Not specified'],['Not specified'],2589,ERF_CR_ENZ_hLYN,Eurofins,human,,human recombinant insect cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,HTRF,ERF_CR_ENZ_hLYN,195,"LYN proto-oncogene, Src family tyrosine kinase",,LYN,live,4067,LYN,"LYN proto-oncogene, Src family tyrosine kinase",P07948
,9606, human,['Not specified'],['Not specified'],2590,ERF_CR_ENZ_hMAOA,Eurofins,human,,,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Colorimetric,spectrophotometry,ERF_CR_ENZ_hMAOA,4645,monoamine oxidase A,,MAOA,,4128,MAOA,monoamine oxidase A,
,9606, human,['Not specified'],['Not specified'],2591,ERF_CR_ENZ_hMAOB,Eurofins,human,,,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Luminescence,Luciferase,ERF_CR_ENZ_hMAOB,4646,monoamine oxidase B,,MAOB,,4129,MAOB,monoamine oxidase B,
,9606, human,['Not specified'],['Not specified'],2592,ERF_CR_ENZ_hMAPK1,Eurofins,human,,human recombinant E. coli,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,LANCE,ERF_CR_ENZ_hMAPK1,259,mitogen-activated protein kinase 1,,MAPK1,live,5594,MAPK1,mitogen-activated protein kinase 1,P28482
,9606, human,['Not specified'],['Not specified'],2593,ERF_KP_ENZ_hMAPK11,Eurofins,human,,human full length recombinant,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Radiometry,Lysate-based radiodetection,ERF_KP_ENZ_hMAPK11,261,mitogen-activated protein kinase 11,,MAPK11,live,5600,MAPK11,mitogen-activated protein kinase 11,Q15759
,9606, human,['Not specified'],['Not specified'],2594,ERF_CR_ENZ_hMAPKAPK2,Eurofins,human,,human recombinant E. coli,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,LANCE,ERF_CR_ENZ_hMAPKAPK2,352,mitogen-activated protein kinase-activated protein kinase 2,,MAPKAPK2,live,9261,MAPKAPK2,mitogen-activated protein kinase-activated protein kinase 2,P49137
,9606, human,['Not specified'],['Not specified'],2595,ERF_PL_ENZ_hMAPKAPK5,Eurofins,human,,human recombinant Sf21 insect cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Radiometry,Lysate-based radiodetection,ERF_PL_ENZ_hMAPKAPK5,343,mitogen-activated protein kinase-activated protein kinase 5,,MAPKAPK5,live,8550,MAPKAPK5,mitogen-activated protein kinase-activated protein kinase 5,Q8IW41
,9606, human,['Not specified'],['Not specified'],2596,ERF_CR_ENZ_hMARK1,Eurofins,human,,human recombinant cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,LANCE,ERF_CR_ENZ_hMARK1,198,MAP/microtubule affinity-regulating kinase 1,,MARK1,live,4139,MARK1,MAP/microtubule affinity-regulating kinase 1,Q9P0L2
,9606, human,['Not specified'],['Not specified'],2597,ERF_CR_ENZ_hMET,Eurofins,human,,human recombinant insect cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,LANCE,ERF_CR_ENZ_hMET,200,"MET proto-oncogene, receptor tyrosine kinase",,MET,live,4233,MET,"MET proto-oncogene, receptor tyrosine kinase",P08581
,9606, human,['Not specified'],['Not specified'],2598,ERF_CR_ENZ_hMMP3,Eurofins,human,,human recombinant cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,Fluorimetry,ERF_CR_ENZ_hMMP3,205,"matrix metallopeptidase 3 (stromelysin 1, progelatinase)",,MMP3,live,4314,MMP3,"matrix metallopeptidase 3 (stromelysin 1, progelatinase)",P08254
,9606, human,['Not specified'],['Not specified'],2599,ERF_CR_ENZ_hMMP9,Eurofins,human,,human recombinant cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,Fluorimetry,ERF_CR_ENZ_hMMP9,207,"matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)",,MMP9,live,4318,MMP9,"matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)",P14780
,9606, human,['Not specified'],['Not specified'],2600,ERF_CR_ENZ_hMSK1,Eurofins,human,,human recombinant insect cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Radiometry,Lysate-based radiodetection,ERF_CR_ENZ_hMSK1,351,"ribosomal protein S6 kinase, 90kDa, polypeptide 5",,RPS6KA5,live,9252,RPS6KA5,"ribosomal protein S6 kinase, 90kDa, polypeptide 5",O75582
,9606, human,['Not specified'],['Not specified'],2601,ERF_CR_ENZ_hNEK2,Eurofins,human,,human recombinant insect cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,LANCE,ERF_CR_ENZ_hNEK2,215,NIMA-related kinase 2,,NEK2,live,4751,NEK2,NIMA-related kinase 2,P51955
,9606, human,['Not specified'],['Not specified'],2602,ERF_CR_ENZ_hNTRK1,Eurofins,human,,human recombinant insect cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,LANCE,ERF_CR_ENZ_hNTRK1,222,"neurotrophic tyrosine kinase, receptor, type 1",,NTRK1,live,4914,NTRK1,"neurotrophic tyrosine kinase, receptor, type 1",P04629
,9606, human,['Not specified'],['Not specified'],2603,ERF_CR_ENZ_hPAK4,Eurofins,human,,human recombinant insect cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,LANCE,ERF_CR_ENZ_hPAK4,364,p21 protein (Cdc42/Rac)-activated kinase 4,,PAK4,live,10298,PAK4,p21 protein (Cdc42/Rac)-activated kinase 4,O96013
,9606, human,['Not specified'],['Not specified'],2604,ERF_CR_ENZ_hPDE10A,Eurofins,human,,human recombinant Sf9 cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Radiometry,Lysate-based radiodetection,ERF_CR_ENZ_hPDE10A,368,phosphodiesterase 10A,,PDE10A,live,10846,PDE10A,phosphodiesterase 10A,Q9Y233
,9606, human,['Not specified'],['Not specified'],2605,ERF_CR_ENZ_hPDE4A,Eurofins,human,,human recombinant Sf9 cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Radiometry,Lysate-based radiodetection,ERF_CR_ENZ_hPDE4A,232,"phosphodiesterase 4A, cAMP-specific",,PDE4A,live,5141,PDE4A,"phosphodiesterase 4A, cAMP-specific",P27815
,9606, human,['Not specified'],['Not specified'],2606,ERF_PL_ENZ_hPDE4D2,Eurofins,human,,human recombinant insect Sf9 cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Colorimetric,spectrophotometry,ERF_PL_ENZ_hPDE4D2,5360,phosphodiesterase 4D,,PDE4D,,5144,PDE4D,phosphodiesterase 4D,
,9606, human,['Not specified'],['Not specified'],2607,ERF_KP_ENZ_hPKD2,Eurofins,human,,human full length recombinant,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Radiometry,Lysate-based radiodetection,ERF_KP_ENZ_hPKD2,416,protein kinase D2,,PRKD2,live,25865,PRKD2,protein kinase D2,Q9BZL6
,9606, human,['Not specified'],['Not specified'],2608,ERF_KP_ENZ_hPRKAA1,Eurofins,human,,human full length recombinant,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Radiometry,Lysate-based radiodetection,ERF_KP_ENZ_hPRKAA1,255,"protein kinase, AMP-activated, alpha 1 catalytic subunit",,PRKAA1,live,5562,PRKAA1,"protein kinase, AMP-activated, alpha 1 catalytic subunit",Q13131
,9606, human,['Not specified'],['Not specified'],2609,ERF_PL_ENZ_hPRKACA,Eurofins,human,,human recombinant E. coli,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Radiometry,Lysate-based radiodetection,ERF_PL_ENZ_hPRKACA,256,"protein kinase, cAMP-dependent, catalytic, alpha",,PRKACA,live,5566,PRKACA,"protein kinase, cAMP-dependent, catalytic, alpha",P17612
,9606, human,['Not specified'],['Not specified'],2610,ERF_PL_ENZ_hPRKCZ,Eurofins,human,,human recombinant insect Sf21 cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Radiometry,Lysate-based radiodetection,ERF_PL_ENZ_hPRKCZ,258,"protein kinase C, zeta",,PRKCZ,live,5590,PRKCZ,"protein kinase C, zeta",Q05513
,9606, human,['Not specified'],['Not specified'],2611,ERF_PL_ENZ_hPTEN,Eurofins,human,,human recombinant E. coli,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Colorimetric,spectrophotometry,ERF_PL_ENZ_hPTEN,263,phosphatase and tensin homolog,,PTEN,live,5728,PTEN,phosphatase and tensin homolog,P60484
,9606, human,['Not specified'],['Not specified'],2612,ERF_CR_ENZ_hPTGS2,Eurofins,human,,human recombinant insect cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,Fluorimetry,ERF_CR_ENZ_hPTGS2,5831,prostaglandin-endoperoxide synthase 2,,PTGS2,,5743,PTGS2,prostaglandin-endoperoxide synthase 2,
,9606, human,['Not specified'],['Not specified'],2613,ERF_CR_ENZ_hPTPN11,Eurofins,human,,,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Colorimetric,spectrophotometry,ERF_CR_ENZ_hPTPN11,270,"protein tyrosine phosphatase, non-receptor type 11",,PTPN11,live,5781,PTPN11,"protein tyrosine phosphatase, non-receptor type 11",Q06124
,9606, human,['Not specified'],['Not specified'],2614,ERF_CR_ENZ_hPTPRB,Eurofins,human,,,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Colorimetric,spectrophotometry,ERF_CR_ENZ_hPTPRB,274,"protein tyrosine phosphatase, receptor type, B",,PTPRB,live,5787,PTPRB,"protein tyrosine phosphatase, receptor type, B",P23467
,9606, human,['Not specified'],['Not specified'],2615,ERF_PL_ENZ_hPTPRF,Eurofins,human,,human recombinant E. coli,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Colorimetric,spectrophotometry,ERF_PL_ENZ_hPTPRF,276,"protein tyrosine phosphatase, receptor type, F",,PTPRF,live,5792,PTPRF,"protein tyrosine phosphatase, receptor type, F",P10586
,9606, human,['Not specified'],['Not specified'],2617,ERF_CR_ENZ_hRAF1,Eurofins,human,,human recombinant insect cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,HTRF,ERF_CR_ENZ_hRAF1,278,"Raf-1 proto-oncogene, serine/threonine kinase",,RAF1,live,5894,RAF1,"Raf-1 proto-oncogene, serine/threonine kinase",P04049
,9606, human,['Not specified'],['Not specified'],2618,ERF_CR_ENZ_hROCK1,Eurofins,human,,human recombinant cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,LANCE,ERF_CR_ENZ_hROCK1,283,"Rho-associated, coiled-coil containing protein kinase 1",,ROCK1,live,6093,ROCK1,"Rho-associated, coiled-coil containing protein kinase 1",Q13464
,9606, human,['Not specified'],['Not specified'],2619,ERF_CR_ENZ_hSGK1,Eurofins,human,,human recombinant insect cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,LANCE,ERF_CR_ENZ_hSGK1,295,serum/glucocorticoid regulated kinase 1,,SGK1,live,6446,SGK1,serum/glucocorticoid regulated kinase 1,O00141
,9606, human,['Not specified'],['Not specified'],2620,ERF_CR_ENZ_hSIRT3,Eurofins,human,,human recombinant E. coli,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,Fluorimetry,ERF_CR_ENZ_hSIRT3,376,sirtuin 3,,SIRT3,live,23410,SIRT3,sirtuin 3,Q9NTG7
,9606, human,['Not specified'],['Not specified'],2621,ERF_CR_ENZ_hSRC,Eurofins,human,,human recombinant insect cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,LANCE,ERF_CR_ENZ_hSRC,303,"SRC proto-oncogene, non-receptor tyrosine kinase",,SRC,live,6714,SRC,"SRC proto-oncogene, non-receptor tyrosine kinase",P12931
,9606, human,['Not specified'],['Not specified'],2622,ERF_CR_ENZ_hSYK,Eurofins,human,,human recombinant cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,LANCE,ERF_CR_ENZ_hSYK,308,spleen tyrosine kinase,,SYK,live,6850,SYK,spleen tyrosine kinase,P43405
,9606, human,['Not specified'],['Not specified'],2623,ERF_CR_ENZ_hZAP70,Eurofins,human,,human recombinant cells,biochemical,,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,HTRF,ERF_CR_ENZ_hZAP70,338,zeta-chain (TCR) associated protein kinase 70kDa,,ZAP70,live,7535,ZAP70,zeta-chain (TCR) associated protein kinase 70kDa,P43403
,9606, human,['Not specified'],['Not specified'],2628,ERF_CR_GPCR_binding_hADORA1,Eurofins,human,,human recombinant CHO cells,biochemical,,binding reporter,radioligand binding,receptor binding,Radiometry,Filter-based radiodetection,ERF_CR_GPCR_hADORA1,10,adenosine A1 receptor,,ADORA1,live,134,ADORA1,adenosine A1 receptor,P30542
,9606, human,['Not specified'],['Not specified'],2629,ERF_CR_GPCR_binding_hADORA2A,Eurofins,human,,human recombinant cells,biochemical,,binding reporter,radioligand binding,receptor binding,Radiometry,Filter-based radiodetection,ERF_CR_GPCR_hADORA2A,11,adenosine A2a receptor,,ADORA2A,live,135,ADORA2A,adenosine A2a receptor,P29274
,9606, human,['Not specified'],['Not specified'],2630,ERF_CR_GPCR_binding_hADRA1A,Eurofins,human,,human recombinant CHO cells,biochemical,,binding reporter,radioligand binding,receptor binding,Radiometry,Filter-based radiodetection,ERF_CR_GPCR_hADRA1A,483,adrenoceptor alpha 1A,,ADRA1A,live,148,ADRA1A,adrenoceptor alpha 1A,
,9606, human,['Not specified'],['Not specified'],2631,ERF_PL_GPCR_binding_hADRA2A,Eurofins,human,,human recombinant CHO-K1 cells,biochemical,,binding reporter,radioligand binding,receptor binding,Radiometry,Filter-based radiodetection,ERF_PL_GPCR_hADRA2A,13,adrenoceptor alpha 2A,,ADRA2A,live,150,ADRA2A,adrenoceptor alpha 2A,P08913
,9606, human,['Not specified'],['Not specified'],2632,ERF_PL_GPCR_binding_hADRA2C,Eurofins,human,,human recombinant CHO-K1 cells,biochemical,,binding reporter,radioligand binding,receptor binding,Radiometry,Filter-based radiodetection,ERF_PL_GPCR_hADRA2C,14,adrenoceptor alpha 2C,,ADRA2C,live,152,ADRA2C,adrenoceptor alpha 2C,P18825
,9606, human,['Not specified'],['Not specified'],2633,ERF_PL_GPCR_binding_hADRB1,Eurofins,human,,human recombinant CHO-K1 cells,biochemical,,binding reporter,radioligand binding,receptor binding,Radiometry,Filter-based radiodetection,ERF_PL_GPCR_hADRB1,15,adrenoceptor beta 1,,ADRB1,live,153,ADRB1,adrenoceptor beta 1,P08588
,9606, human,['Not specified'],['Not specified'],2634,ERF_CR_GPCR_binding_hADRB2,Eurofins,human,,human recombinant cells,biochemical,,binding reporter,radioligand binding,receptor binding,Radiometry,Filter-based radiodetection,ERF_CR_GPCR_hADRB2,16,"adrenoceptor beta 2, surface",,ADRB2,live,154,ADRB2,"adrenoceptor beta 2, surface",P07550
,9606, human,['Not specified'],['Not specified'],2637,ERF_PL_GPCR_binding_hAGTR2,Eurofins,human,,human recombinant CHO-K1 cells,biochemical,,binding reporter,radioligand binding,receptor binding,Radiometry,Filter-based radiodetection,ERF_PL_GPCR_hAGTR2,1620,angiotensin II receptor type 2,,AGTR2,,186,AGTR2,angiotensin II receptor type 2,
,9606, human,['Not specified'],['Not specified'],2638,ERF_CR_GPCR_binding_hAVPR1A,Eurofins,human,,human recombinant cells,biochemical,,binding reporter,radioligand binding,receptor binding,Radiometry,Filter-based radiodetection,ERF_CR_GPCR_hAVPR1A,29,arginine vasopressin receptor 1A,,AVPR1A,live,552,AVPR1A,arginine vasopressin receptor 1A,P37288
,9606, human,['Not specified'],['Not specified'],2639,ERF_CR_GPCR_binding_hBDKRB2,Eurofins,human,,human recombinant cells,biochemical,,binding reporter,radioligand binding,receptor binding,Radiometry,Filter-based radiodetection,ERF_CR_GPCR_hBDKRB2,1955,bradykinin receptor B2,,BDKRB2,,624,BDKRB2,bradykinin receptor B2,
,9606, human,['Not specified'],['Not specified'],2640,ERF_PL_GPCR_binding_hCCKAR,Eurofins,human,,human recombinant astrocytoma cells,biochemical,,binding reporter,radioligand binding,receptor binding,Radiometry,Filter-based radiodetection,ERF_PL_GPCR_hCCKAR,2158,cholecystokinin A receptor,,CCKAR,,886,CCKAR,cholecystokinin A receptor,
,9606, human,['Not specified'],['Not specified'],2641,ERF_CR_GPCR_binding_hCCKBR,Eurofins,human,,human recombinant cells,biochemical,,binding reporter,radioligand binding,receptor binding,Radiometry,Filter-based radiodetection,ERF_CR_GPCR_hCCKBR,2159,cholecystokinin B receptor,,CCKBR,,887,CCKBR,cholecystokinin B receptor,
,9606, human,['Not specified'],['Not specified'],2642,ERF_CR_GPCR_binding_hCHRM1,Eurofins,human,,human recombinant cells,biochemical,,binding reporter,radioligand binding,receptor binding,Radiometry,Filter-based radiodetection,ERF_CR_GPCR_hCHRM1,61,"cholinergic receptor, muscarinic 1",,CHRM1,live,1128,CHRM1,"cholinergic receptor, muscarinic 1",P11229
,9606, human,['Not specified'],['Not specified'],2643,ERF_CR_GPCR_binding_hCHRM2,Eurofins,human,,human recombinant cells,biochemical,,binding reporter,radioligand binding,receptor binding,Radiometry,Filter-based radiodetection,ERF_CR_GPCR_hCHRM2,62,"cholinergic receptor, muscarinic 2",,CHRM2,live,1129,CHRM2,"cholinergic receptor, muscarinic 2",P08172
,9606, human,['Not specified'],['Not specified'],2644,ERF_CR_GPCR_binding_hCHRM3,Eurofins,human,,human recombinant cells,biochemical,,binding reporter,radioligand binding,receptor binding,Radiometry,Filter-based radiodetection,ERF_CR_GPCR_hCHRM3,63,"cholinergic receptor, muscarinic 3",,CHRM3,live,1131,CHRM3,"cholinergic receptor, muscarinic 3",P20309
,9606, human,['Not specified'],['Not specified'],2645,ERF_CR_GPCR_binding_hCHRM4,Eurofins,human,,human recombinant cells,biochemical,,binding reporter,radioligand binding,receptor binding,Radiometry,Filter-based radiodetection,ERF_CR_GPCR_hCHRM4,64,"cholinergic receptor, muscarinic 4",,CHRM4,live,1132,CHRM4,"cholinergic receptor, muscarinic 4",P08173
,9606, human,['Not specified'],['Not specified'],2646,ERF_CR_GPCR_binding_hCHRM5,Eurofins,human,,human recombinant cells,biochemical,,binding reporter,radioligand binding,receptor binding,Radiometry,Filter-based radiodetection,ERF_CR_GPCR_hCHRM5,65,"cholinergic receptor, muscarinic 5",,CHRM5,live,1133,CHRM5,"cholinergic receptor, muscarinic 5",P08912
,9606, human,['Not specified'],['Not specified'],2647,ERF_CR_GPCR_binding_hCYSLTR1,Eurofins,human,,human recombinant cells,biochemical,,binding reporter,radioligand binding,receptor binding,Radiometry,Filter-based radiodetection,ERF_CR_GPCR_hCYSLTR1,9689,cysteinyl leukotriene receptor 1,,CYSLTR1,,10800,CYSLTR1,cysteinyl leukotriene receptor 1,
,9606, human,['Not specified'],['Not specified'],2648,ERF_CR_GPCR_binding_hDRD1,Eurofins,human,,human recombinant cells,biochemical,,binding reporter,radioligand binding,receptor binding,Radiometry,Filter-based radiodetection,ERF_CR_GPCR_hDRD1,99,dopamine receptor D1,,DRD1,live,1812,DRD1,dopamine receptor D1,P21728
,9606, human,['Not specified'],['Not specified'],2649,ERF_CR_GPCR_binding_hDRD2,Eurofins,human,,human recombinant HEK-293 cells,biochemical,,binding reporter,radioligand binding,receptor binding,Radiometry,Filter-based radiodetection,ERF_CR_GPCR_hDRD2,100,dopamine receptor D2,,DRD2,live,1813,DRD2,dopamine receptor D2,P14416
,9606, human,['Not specified'],['Not specified'],2650,ERF_PL_GPCR_binding_hDRD4,Eurofins,human,,human recombinant CHO-K1 cells,biochemical,,binding reporter,radioligand binding,receptor binding,Radiometry,Filter-based radiodetection,ERF_PL_GPCR_hDRD4,101,dopamine receptor D4,,DRD4,live,1815,DRD4,dopamine receptor D4,P21917
,9606, human,['Not specified'],['Not specified'],2651,ERF_CR_GPCR_binding_hGALR1,Eurofins,human,,human recombinant cells,biochemical,,binding reporter,radioligand binding,receptor binding,Radiometry,Filter-based radiodetection,ERF_CR_GPCR_hGALR1,3457,galanin receptor 1,,GALR1,,2587,GALR1,galanin receptor 1,
,9606, human,['Not specified'],['Not specified'],2652,ERF_CR_GPCR_binding_hHRH1,Eurofins,human,,human recombinant cells,biochemical,,binding reporter,radioligand binding,receptor binding,Radiometry,Filter-based radiodetection,ERF_CR_GPCR_hHRH1,160,histamine receptor H1,,HRH1,live,3269,HRH1,histamine receptor H1,P35367
,9606, human,['Not specified'],['Not specified'],2653,ERF_CR_GPCR_binding_hHTR1A,Eurofins,human,,human recombinant cells,biochemical,,binding reporter,radioligand binding,receptor binding,Radiometry,Filter-based radiodetection,ERF_CR_GPCR_hHTR1A,4067,5-hydroxytryptamine receptor 1A,,HTR1A,,3350,HTR1A,5-hydroxytryptamine receptor 1A,
,9606, human,['Not specified'],['Not specified'],2654,ERF_CR_GPCR_binding_hHTR5A,Eurofins,human,,human recombinant cells,biochemical,,binding reporter,radioligand binding,receptor binding,Radiometry,Filter-based radiodetection,ERF_CR_GPCR_hHTR5A,167,"5-hydroxytryptamine (serotonin) receptor 5A, G protein-coupled",,HTR5A,live,3361,HTR5A,"5-hydroxytryptamine (serotonin) receptor 5A, G protein-coupled",P47898
